,GEOID,MEDIAN GROSS RENT (DOLLARS)_Estimate!!Median gross rent,YEAR
505,13121007805,853.0,2012.0
506,13121007805,844.0,2013.0
507,13121007805,867.0,2014.0
508,13121007805,797.0,2015.0
509,13121007805,793.0,2016.0
510,13121007805,827.0,2017.0
511,13121002800,413.0,2012.0
512,13121002800,424.0,2013.0
513,13121002800,734.0,2014.0
514,13121002800,885.0,2015.0
515,13121002800,920.0,2016.0
516,13121002800,1116.0,2017.0
517,13121002600,866.0,2012.0
518,13121002600,856.0,2013.0
519,13121002600,895.0,2014.0
520,13121002600,907.0,2015.0
521,13121002600,926.0,2016.0
522,13121002600,946.0,2017.0
523,13121003000,1173.0,2012.0
524,13121003000,1154.0,2013.0
525,13121003000,1208.0,2014.0
526,13121003000,1195.0,2015.0
527,13121003000,1206.0,2016.0
528,13121003000,1293.0,2017.0
529,13121002400,817.0,2012.0
530,13121002400,819.0,2013.0
531,13121002400,903.0,2014.0
532,13121002400,897.0,2015.0
533,13121002400,858.0,2016.0
534,13121002400,970.0,2017.0
535,13121003200,1033.0,2012.0
536,13121003200,1082.0,2013.0
537,13121003200,1125.0,2014.0
538,13121003200,1131.0,2015.0
539,13121003200,1200.0,2016.0
540,13121003200,1301.0,2017.0
541,13121003100,818.0,2012.0
542,13121003100,793.0,2013.0
543,13121003100,776.0,2014.0
544,13121003100,824.0,2015.0
545,13121003100,867.0,2016.0
546,13121003100,873.0,2017.0
547,13121003500,1137.0,2012.0
548,13121003500,1149.0,2013.0
549,13121003500,1127.0,2014.0
550,13121003500,1114.0,2015.0
551,13121003500,1144.0,2016.0
552,13121003500,1222.0,2017.0
553,13121003800,523.0,2012.0
554,13121003800,491.0,2013.0
555,13121003800,514.0,2014.0
556,13121003800,549.0,2015.0
557,13121003800,575.0,2016.0
558,13121003800,675.0,2017.0
559,13121007808,655.0,2012.0
560,13121007808,680.0,2013.0
561,13121007808,651.0,2014.0
562,13121007808,639.0,2015.0
563,13121007808,623.0,2016.0
564,13121007808,663.0,2017.0
565,13121008000,1072.0,2012.0
566,13121008000,1150.0,2013.0
567,13121008000,1154.0,2014.0
568,13121008000,1161.0,2015.0
569,13121008000,1038.0,2016.0
570,13121008000,1072.0,2017.0
571,13121007807,733.0,2012.0
572,13121007807,771.0,2013.0
573,13121007807,741.0,2014.0
574,13121007807,776.0,2015.0
575,13121007807,786.0,2016.0
576,13121007807,792.0,2017.0
577,13121007900,1281.0,2012.0
578,13121007900,1308.0,2013.0
579,13121007900,1314.0,2014.0
580,13121007900,1265.0,2015.0
581,13121007900,1362.0,2016.0
582,13121007900,1333.0,2017.0
583,13121008201,785.0,2012.0
584,13121008201,779.0,2013.0
585,13121008201,783.0,2014.0
586,13121008201,798.0,2015.0
587,13121008201,856.0,2016.0
588,13121008201,870.0,2017.0
589,13121008102,750.0,2012.0
590,13121008102,764.0,2013.0
591,13121008102,772.0,2014.0
592,13121008102,742.0,2015.0
593,13121008102,752.0,2016.0
594,13121008102,755.0,2017.0
595,13121004800,651.0,2012.0
596,13121004800,759.0,2013.0
597,13121004800,794.0,2014.0
598,13121004800,816.0,2015.0
599,13121004800,861.0,2016.0
600,13121004800,944.0,2017.0
601,13121005000,1016.0,2012.0
602,13121005000,1136.0,2013.0
603,13121005000,1155.0,2014.0
604,13121005000,1208.0,2015.0
605,13121005000,1196.0,2016.0
606,13121005000,1132.0,2017.0
607,13121003900,777.0,2012.0
