,GEOID,TOTAL POPULATION_Estimate!!Total,YEAR
412,13089020801,2600.0,2015.0
413,13089020801,2529.0,2016.0
414,13089020801,2619.0,2017.0
415,13089020900,5802.0,2012.0
416,13089020900,5706.0,2013.0
417,13089020900,5676.0,2014.0
418,13089020900,5700.0,2015.0
419,13089020900,5546.0,2016.0
420,13089020900,5811.0,2017.0
421,13121001002,8226.0,2012.0
422,13121001002,7913.0,2013.0
423,13121001002,7550.0,2014.0
424,13121001002,7230.0,2015.0
425,13121001002,7130.0,2016.0
426,13121001002,6998.0,2017.0
427,13121000700,3274.0,2012.0
428,13121000700,2999.0,2013.0
429,13121000700,2917.0,2014.0
430,13121000700,2934.0,2015.0
431,13121000700,2969.0,2016.0
432,13121000700,3121.0,2017.0
433,13121008700,4787.0,2012.0
434,13121008700,4349.0,2013.0
435,13121008700,4235.0,2014.0
436,13121008700,4364.0,2015.0
437,13121008700,4235.0,2016.0
438,13121008700,5178.0,2017.0
439,13089020100,1720.0,2012.0
440,13089020100,1838.0,2013.0
441,13089020100,1853.0,2014.0
442,13089020100,1908.0,2015.0
443,13089020100,2006.0,2016.0
444,13089020100,2076.0,2017.0
445,13089020200,2065.0,2012.0
446,13089020200,2081.0,2013.0
447,13089020200,2040.0,2014.0
448,13089020200,2089.0,2015.0
449,13089020200,2139.0,2016.0
450,13089020200,2045.0,2017.0
451,13089020300,3730.0,2012.0
452,13089020300,3833.0,2013.0
453,13089020300,3767.0,2014.0
454,13089020300,3819.0,2015.0
455,13089020300,4056.0,2016.0
456,13089020300,4151.0,2017.0
457,13121006802,1724.0,2012.0
458,13121006802,1999.0,2013.0
459,13121006802,1907.0,2014.0
460,13121006802,1992.0,2015.0
461,13121006802,2048.0,2016.0
462,13121006802,2180.0,2017.0
463,13121006900,3562.0,2012.0
464,13121006900,3750.0,2013.0
465,13121006900,3659.0,2014.0
466,13121006900,3551.0,2015.0
467,13121006900,3984.0,2016.0
468,13121006900,3861.0,2017.0
469,13121007001,4380.0,2012.0
470,13121007001,4190.0,2013.0
471,13121007001,4730.0,2014.0
472,13121007001,4764.0,2015.0
473,13121007001,4859.0,2016.0
474,13121007001,4797.0,2017.0
475,13121007602,2747.0,2012.0
476,13121007602,2779.0,2013.0
477,13121007602,2705.0,2014.0
478,13121007602,2570.0,2015.0
479,13121007602,2676.0,2016.0
480,13121007602,2737.0,2017.0
481,13121007802,8925.0,2012.0
482,13121007802,9627.0,2013.0
483,13121007802,9295.0,2014.0
484,13121007802,10014.0,2015.0
485,13121007802,9897.0,2016.0
486,13121007802,10402.0,2017.0
487,13121002300,1141.0,2012.0
488,13121002300,1172.0,2013.0
489,13121002300,1263.0,2014.0
490,13121002300,1244.0,2015.0
491,13121002300,1400.0,2016.0
492,13121002300,1500.0,2017.0
493,13121002100,3308.0,2012.0
494,13121002100,2931.0,2013.0
495,13121002100,2851.0,2014.0
496,13121002100,2785.0,2015.0
497,13121002100,2587.0,2016.0
498,13121002100,2640.0,2017.0
499,13121007806,6006.0,2012.0
500,13121007806,6022.0,2013.0
501,13121007806,6396.0,2014.0
502,13121007806,6594.0,2015.0
503,13121007806,7253.0,2016.0
504,13121007806,7035.0,2017.0
505,13121007805,3422.0,2012.0
506,13121007805,3335.0,2013.0
507,13121007805,3385.0,2014.0
508,13121007805,3144.0,2015.0
509,13121007805,3166.0,2016.0
510,13121007805,3540.0,2017.0
511,13121002800,2837.0,2012.0
512,13121002800,3523.0,2013.0
513,13121002800,4120.0,2014.0
514,13121002800,4654.0,2015.0
515,13121002800,4921.0,2016.0
516,13121002800,5005.0,2017.0
517,13121002600,802.0,2012.0
518,13121002600,900.0,2013.0
519,13121002600,987.0,2014.0
520,13121002600,1229.0,2015.0
521,13121002600,1560.0,2016.0
522,13121002600,1777.0,2017.0
523,13121003000,2499.0,2012.0
524,13121003000,2654.0,2013.0
525,13121003000,2904.0,2014.0
526,13121003000,3077.0,2015.0
527,13121003000,3133.0,2016.0
528,13121003000,3325.0,2017.0
529,13121002400,1936.0,2012.0
530,13121002400,1736.0,2013.0
531,13121002400,1774.0,2014.0
532,13121002400,2504.0,2015.0
533,13121002400,2337.0,2016.0
534,13121002400,2645.0,2017.0
535,13121003200,2150.0,2012.0
536,13121003200,2093.0,2013.0
537,13121003200,2166.0,2014.0
538,13121003200,2150.0,2015.0
539,13121003200,2144.0,2016.0
540,13121003200,2251.0,2017.0
541,13121003100,1714.0,2012.0
542,13121003100,1819.0,2013.0
543,13121003100,1937.0,2014.0
544,13121003100,1887.0,2015.0
545,13121003100,2013.0,2016.0
546,13121003100,1974.0,2017.0
547,13121003500,1979.0,2012.0
548,13121003500,1997.0,2013.0
549,13121003500,2050.0,2014.0
550,13121003500,2107.0,2015.0
551,13121003500,2212.0,2016.0
552,13121003500,2175.0,2017.0
553,13121003800,3682.0,2012.0
554,13121003800,3705.0,2013.0
555,13121003800,3765.0,2014.0
556,13121003800,3872.0,2015.0
557,13121003800,3937.0,2016.0
558,13121003800,4091.0,2017.0
559,13121007808,4585.0,2012.0
560,13121007808,4324.0,2013.0
561,13121007808,4273.0,2014.0
562,13121007808,4487.0,2015.0
563,13121007808,4716.0,2016.0
564,13121007808,4447.0,2017.0
565,13121008000,4949.0,2012.0
566,13121008000,4974.0,2013.0
567,13121008000,5383.0,2014.0
568,13121008000,5422.0,2015.0
569,13121008000,5824.0,2016.0
570,13121008000,5965.0,2017.0
571,13121007807,2871.0,2012.0
572,13121007807,2896.0,2013.0
573,13121007807,2854.0,2014.0
574,13121007807,3203.0,2015.0
575,13121007807,3543.0,2016.0
576,13121007807,3564.0,2017.0
577,13121007900,5449.0,2012.0
578,13121007900,5517.0,2013.0
579,13121007900,6050.0,2014.0
580,13121007900,5801.0,2015.0
581,13121007900,5552.0,2016.0
582,13121007900,5455.0,2017.0
583,13121008201,6738.0,2012.0
584,13121008201,7219.0,2013.0
585,13121008201,6640.0,2014.0
586,13121008201,5999.0,2015.0
587,13121008201,6242.0,2016.0
588,13121008201,5555.0,2017.0
589,13121008102,6829.0,2012.0
590,13121008102,7126.0,2013.0
591,13121008102,6834.0,2014.0
592,13121008102,7031.0,2015.0
593,13121008102,7329.0,2016.0
594,13121008102,6876.0,2017.0
595,13121004800,753.0,2012.0
596,13121004800,822.0,2013.0
597,13121004800,974.0,2014.0
598,13121004800,1048.0,2015.0
599,13121004800,1141.0,2016.0
600,13121004800,1158.0,2017.0
601,13121005000,2183.0,2012.0
602,13121005000,2276.0,2013.0
603,13121005000,2074.0,2014.0
604,13121005000,2065.0,2015.0
