,GEOID,MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)_Estimate!!Median household income in the past 12 months (in 2016 inflation-adjusted dollars),YEAR
412,13089020801,75956.0,2015.0
413,13089020801,80625.0,2016.0
414,13089020801,92594.0,2017.0
415,13089020900,38333.0,2012.0
416,13089020900,37242.0,2013.0
417,13089020900,46161.0,2014.0
418,13089020900,48535.0,2015.0
419,13089020900,65008.0,2016.0
420,13089020900,66536.0,2017.0
421,13121001002,35625.0,2012.0
422,13121001002,24028.0,2013.0
423,13121001002,32961.0,2014.0
424,13121001002,30333.0,2015.0
425,13121001002,25882.0,2016.0
426,13121001002,27250.0,2017.0
427,13121000700,62643.0,2012.0
428,13121000700,63594.0,2013.0
429,13121000700,68631.0,2014.0
430,13121000700,71667.0,2015.0
431,13121000700,69722.0,2016.0
432,13121000700,71214.0,2017.0
433,13121008700,19310.0,2012.0
434,13121008700,21699.0,2013.0
435,13121008700,26279.0,2014.0
436,13121008700,26998.0,2015.0
437,13121008700,27395.0,2016.0
438,13121008700,29583.0,2017.0
439,13089020100,160662.0,2012.0
440,13089020100,159362.0,2013.0
441,13089020100,130385.0,2014.0
442,13089020100,153177.0,2015.0
443,13089020100,162500.0,2016.0
444,13089020100,174526.0,2017.0
445,13089020200,74113.0,2012.0
446,13089020200,79289.0,2013.0
447,13089020200,87500.0,2014.0
448,13089020200,102829.0,2015.0
449,13089020200,95809.0,2016.0
450,13089020200,87889.0,2017.0
451,13089020300,100506.0,2012.0
452,13089020300,104311.0,2013.0
453,13089020300,103722.0,2014.0
454,13089020300,101875.0,2015.0
455,13089020300,101923.0,2016.0
456,13089020300,113088.0,2017.0
457,13121006802,5764.0,2012.0
458,13121006802,7872.0,2013.0
459,13121006802,2499.0,2014.0
461,13121006802,6815.0,2016.0
462,13121006802,9815.0,2017.0
463,13121006900,46513.0,2012.0
464,13121006900,48482.0,2013.0
465,13121006900,44271.0,2014.0
466,13121006900,45565.0,2015.0
467,13121006900,51429.0,2016.0
468,13121006900,71359.0,2017.0
469,13121007001,35202.0,2012.0
470,13121007001,26157.0,2013.0
