,GEOID,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Married-couple family,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Male householder, no wife present","HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Family households!!Other family!!Female householder, no husband present",HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder living alone,HOUSEHOLD TYPE (INCLUDING LIVING ALONE)_Estimate!!Total!!Nonfamily households!!Householder not living alone,YEAR
107,13121009700,1344.0,1088.0,1001.0,87.0,10.0,77.0,256.0,197.0,59.0,2016.0
108,13121009700,1351.0,1110.0,1017.0,93.0,10.0,83.0,241.0,179.0,62.0,2017.0
109,13121007100,907.0,666.0,151.0,515.0,47.0,468.0,241.0,241.0,0.0,2012.0
110,13121007100,755.0,474.0,134.0,340.0,30.0,310.0,281.0,281.0,0.0,2013.0
111,13121007100,707.0,410.0,139.0,271.0,45.0,226.0,297.0,297.0,0.0,2014.0
112,13121007100,711.0,438.0,148.0,290.0,48.0,242.0,273.0,273.0,0.0,2015.0
113,13121007100,756.0,418.0,166.0,252.0,48.0,204.0,338.0,318.0,20.0,2016.0
114,13121007100,782.0,416.0,158.0,258.0,31.0,227.0,366.0,338.0,28.0,2017.0
115,13121006200,354.0,300.0,133.0,167.0,23.0,144.0,54.0,21.0,33.0,2012.0
116,13121006200,438.0,358.0,129.0,229.0,11.0,218.0,80.0,40.0,40.0,2013.0
117,13121006200,439.0,318.0,117.0,201.0,0.0,201.0,121.0,85.0,36.0,2014.0
118,13121006200,459.0,307.0,120.0,187.0,11.0,176.0,152.0,122.0,30.0,2015.0
119,13121006200,467.0,280.0,108.0,172.0,14.0,158.0,187.0,150.0,37.0,2016.0
120,13121006200,512.0,316.0,131.0,185.0,29.0,156.0,196.0,162.0,34.0,2017.0
121,13121001100,2620.0,429.0,374.0,55.0,24.0,31.0,2191.0,1918.0,273.0,2012.0
122,13121001100,2569.0,467.0,395.0,72.0,25.0,47.0,2102.0,1841.0,261.0,2013.0
123,13121001100,2826.0,530.0,449.0,81.0,25.0,56.0,2296.0,2049.0,247.0,2014.0
124,13121001100,3012.0,674.0,600.0,74.0,45.0,29.0,2338.0,2090.0,248.0,2015.0
125,13121001100,2956.0,669.0,582.0,87.0,43.0,44.0,2287.0,1996.0,291.0,2016.0
126,13121001100,2949.0,817.0,712.0,105.0,47.0,58.0,2132.0,1921.0,211.0,2017.0
127,13121002500,848.0,332.0,118.0,214.0,15.0,199.0,516.0,480.0,36.0,2012.0
128,13121002500,846.0,273.0,57.0,216.0,28.0,188.0,573.0,500.0,73.0,2013.0
129,13121002500,803.0,304.0,54.0,250.0,49.0,201.0,499.0,419.0,80.0,2014.0
130,13121002500,896.0,335.0,73.0,262.0,63.0,199.0,561.0,448.0,113.0,2015.0
131,13121002500,931.0,324.0,76.0,248.0,72.0,176.0,607.0,478.0,129.0,2016.0
132,13121002500,955.0,341.0,80.0,261.0,86.0,175.0,614.0,457.0,157.0,2017.0
133,13121004200,1223.0,376.0,83.0,293.0,75.0,218.0,847.0,753.0,94.0,2012.0
134,13121004200,1324.0,332.0,79.0,253.0,76.0,177.0,992.0,888.0,104.0,2013.0
135,13121004200,1319.0,382.0,45.0,337.0,94.0,243.0,937.0,881.0,56.0,2014.0
136,13121004200,1312.0,310.0,52.0,258.0,79.0,179.0,1002.0,954.0,48.0,2015.0
137,13121004200,1472.0,398.0,81.0,317.0,94.0,223.0,1074.0,1048.0,26.0,2016.0
138,13121004200,1433.0,408.0,79.0,329.0,71.0,258.0,1025.0,986.0,39.0,2017.0
139,13121009101,2715.0,906.0,775.0,131.0,15.0,116.0,1809.0,1523.0,286.0,2012.0
140,13121009101,2641.0,912.0,767.0,145.0,0.0,145.0,1729.0,1478.0,251.0,2013.0
141,13121009101,2768.0,854.0,740.0,114.0,0.0,114.0,1914.0,1509.0,405.0,2014.0
142,13121009101,2714.0,767.0,649.0,118.0,0.0,118.0,1947.0,1510.0,437.0,2015.0
143,13121009101,2776.0,771.0,662.0,109.0,0.0,109.0,2005.0,1553.0,452.0,2016.0
144,13121009101,2826.0,708.0,613.0,95.0,0.0,95.0,2118.0,1618.0,500.0,2017.0
145,13121008904,2371.0,923.0,646.0,277.0,14.0,263.0,1448.0,1218.0,230.0,2012.0
146,13121008904,2379.0,926.0,685.0,241.0,17.0,224.0,1453.0,1211.0,242.0,2013.0
147,13121008904,2349.0,1005.0,731.0,274.0,0.0,274.0,1344.0,1113.0,231.0,2014.0
148,13121008904,2380.0,947.0,731.0,216.0,0.0,216.0,1433.0,1229.0,204.0,2015.0
149,13121008904,2512.0,1039.0,727.0,312.0,16.0,296.0,1473.0,1263.0,210.0,2016.0
150,13121008904,2615.0,1115.0,773.0,342.0,57.0,285.0,1500.0,1312.0,188.0,2017.0
151,13121003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0
